DATE,Open,High,Low,GOOGLE_PRICE,Adj Close,Volume
2005-01-01,4.916571,5.113334,4.390792,4.872238,4.872238,8237356337
2006-01-01,10.523555,11.833396,9.831649,10.776108,10.776108,12006439028
2007-01-01,11.606496,12.777108,11.484703,12.490682,12.490682,5002163322
2008-01-01,17.257067,17.369146,12.926548,14.054819,14.054819,6335233336
2009-01-01,7.686190,8.775358,7.042354,8.431646,8.431646,4411742543
2010-01-01,15.615220,15.678981,13.091181,13.199027,13.199027,3577378821
2011-01-01,14.856315,16.013975,14.833152,14.952953,14.952953,2408369449
2012-01-01,16.262545,16.693678,14.061046,14.448593,14.448593,2956745222
2013-01-01,17.918339,18.952711,17.323069,18.821701,18.821701,2104065102
2014-01-01,27.782366,29.552729,26.955713,29.414000,29.414000,2188640930
2015-01-01,26.378078,27.034277,24.311253,26.652824,26.652824,1004562476
2016-01-01,37.150002,37.599998,33.662998,37.147499,37.147499,931224000
2017-01-01,38.940498,42.097500,38.790001,39.839500,39.839500,664002000
2018-01-01,52.417000,59.344501,52.261501,58.497002,58.497002,574768000
2019-01-01,50.828499,55.866501,50.703499,55.818501,55.818501,614280000
2020-01-01,67.077499,75.160698,67.077499,71.711502,71.711502,673832000
2021-01-01,87.876999,96.742996,84.949997,91.787003,91.787003,661654000
2022-01-01,144.475494,146.610001,124.641953,135.698502,135.698502,615510000
2023-01-01,89.830002,101.580002,85.570000,99.870003,99.870003,526178100
2024-01-01,139.600006,155.199997,136.850006,141.800003,141.800003,428771200